"branch_id","phone_number","company_name"
"1","(902) 128-6154","East Coast Beast Coast"
"2","(709) 120-7726","Old Canada Incorporated"
"3","(902) 128-4960","New Canada Incorporated"
"4","(709) 120-4988","Abc Co."
"5","(709) 712-9680","Atlantic Canada Industries"
"6","(709) 712-7807","East Coast Beast Coast"
"7","(709) 900-1080","Abc Co."
"8","(709) 120-1142","New Canada Incorporated"
"9","(902) 128-1174","Atlantic Canada Industries"
"10","(709) 120-4541","East Coast Beast Coast"
"11","(709) 120-1019","New Canada Incorporated"
"12","(902) 128-8749","Atlantic Canada Industries"
"13","(709) 109-7991","Old Canada Incorporated"
"14","(902) 128-9285","Atlantic Canada Industries"
"15","(902) 128-3632","East Coast Beast Coast"
"16","(709) 109-2077","Atlantic Canada Industries"
"17","(709) 120-1212","Old Canada Incorporated"
"18","(709) 712-3907","Abc Co."
"19","(709) 109-7098","New Canada Incorporated"
"20","(709) 109-2946","Atlantic Canada Industries"
"21","(902) 912-8609","New Canada Incorporated"
"22","(709) 712-9062","New Canada Incorporated"
"23","(902) 912-7684","New Canada Incorporated"
"24","(902) 746-8137","East Coast Beast Coast"
"25","(709) 531-0468","Atlantic Canada Industries"
"26","(902) 128-0569","Abc Co."
"27","(902) 881-1435","Old Canada Incorporated"
"28","(709) 120-1719","Abc Co."
"29","(902) 128-6433","New Canada Incorporated"
"30","(709) 712-7367","New Canada Incorporated"
"31","(709) 551-4251","New Canada Incorporated"
"32","(902) 164-2713","New Canada Incorporated"
"33","(709) 712-8211","New Canada Incorporated"
"34","(902) 746-6612","Abc Co."
"35","(902) 912-0286","East Coast Beast Coast"
"36","(709) 551-9460","New Canada Incorporated"
"37","(709) 109-3908","Abc Co."
"38","(709) 941-9165","New Canada Incorporated"
"39","(902) 528-7737","New Canada Incorporated"
"40","(709) 109-2683","New Canada Incorporated"
"41","(902) 164-2096","Old Canada Incorporated"
"42","(709) 900-6205","Old Canada Incorporated"
"43","(902) 128-4348","New Canada Incorporated"
"44","(902) 881-1115","New Canada Incorporated"
"45","(709) 948-6136","East Coast Beast Coast"
"46","(709) 551-7277","Abc Co."
"47","(902) 128-1262","Old Canada Incorporated"
"48","(902) 128-1783","New Canada Incorporated"
"49","(902) 912-7785","Abc Co."
"50","(902) 128-8887","Old Canada Incorporated"
"51","(902) 912-6145","New Canada Incorporated"
"52","(709) 551-6278","East Coast Beast Coast"
"53","(709) 531-7870","East Coast Beast Coast"
"54","(902) 164-2842","East Coast Beast Coast"
"55","(902) 528-3878","Abc Co."
"56","(902) 164-4000","East Coast Beast Coast"
"57","(709) 551-3125","Old Canada Incorporated"
"58","(902) 881-0706","Abc Co."
"59","(902) 598-7349","Atlantic Canada Industries"
"60","(709) 109-5042","Old Canada Incorporated"
"61","(709) 109-2061","East Coast Beast Coast"
"62","(902) 352-4403","Old Canada Incorporated"
"63","(709) 900-8537","East Coast Beast Coast"
"64","(902) 912-4003","Abc Co."
"65","(902) 420-9107","East Coast Beast Coast"
"66","(709) 948-2918","Old Canada Incorporated"
"67","(709) 900-5490","New Canada Incorporated"
"68","(709) 900-1433","Old Canada Incorporated"
"69","(902) 912-1574","Atlantic Canada Industries"
"70","(902) 420-3631","Old Canada Incorporated"
"71","(709) 190-6999","New Canada Incorporated"
"72","(709) 948-5604","Abc Co."
"73","(709) 120-1786","Abc Co."
"74","(902) 912-7905","Abc Co."
"75","(902) 252-5198","Abc Co."
"76","(709) 712-1036","Abc Co."
