"employee_id","role_id"
"1","51"
"2","16"
"3","23"
"4","7"
"5","49"
"6","44"
"7","16"
"8","8"
"9","35"
"10","31"
"11","3"
"12","55"
"13","12"
"14","14"
"15","6"
"16","6"
"17","54"
"18","12"
"19","39"
"20","18"
"21","22"
"22","49"
"23","6"
"24","50"
"25","37"
"26","7"
"27","29"
"28","2"
"29","48"
"30","28"
"31","30"
"32","49"
"33","1"
"34","1"
"35","32"
"36","5"
"37","53"
"38","42"
"39","11"
"40","36"
"41","34"
"42","15"
"43","17"
"44","39"
"45","47"
"46","27"
"47","47"
"48","16"
"49","49"
"50","54"
"51","21"
"52","19"
"53","10"
"54","19"
"55","38"
"56","5"
"57","10"
"58","49"
"59","39"
"60","16"
"61","46"
"62","15"
"63","16"
"64","4"
"65","6"
"66","22"
"67","8"
"68","11"
"69","23"
"70","6"
"71","26"
"72","4"
"73","2"
"74","51"
"75","55"
"76","44"
"77","35"
"78","55"
"79","44"
"80","24"
"81","51"
"82","43"
"83","34"
"84","14"
"85","1"
"86","2"
"87","44"
"88","20"
"89","1"
"90","35"
"91","28"
"92","20"
"93","54"
"94","32"
"95","12"
"96","16"
"97","50"
"98","30"
"99","24"
"100","22"
"101","27"
"102","4"
"103","30"
"104","8"
"105","55"
"106","10"
"107","53"
"108","17"
"109","15"
"110","28"
"111","6"
"112","33"
"113","25"
"114","41"
"115","48"
"116","21"
"117","5"
"118","13"
"119","46"
"120","4"
"121","45"
"122","13"
"123","51"
"124","19"
"125","22"
"126","26"
"127","39"
"128","15"
"129","45"
"130","36"
"131","36"
"132","42"
"133","21"
"134","44"
"135","34"
"136","55"
"137","9"
"138","39"
"139","27"
"140","35"
"141","30"
"142","32"
"143","36"
"144","4"
"145","45"
"146","39"
"147","19"
"148","44"
"149","20"
"150","51"
"151","5"
"152","21"
"153","19"
"154","54"
"155","2"
"156","45"
"157","11"
"158","16"
"159","45"
"160","8"
"161","1"
"162","30"
"163","10"
"164","23"
"165","17"
"166","40"
"167","50"
"168","37"
"169","15"
"170","17"
"171","28"
"172","32"
"173","20"
"174","47"
"175","21"
"176","2"
"177","4"
"178","48"
"179","4"
"180","38"
"181","30"
"182","20"
"183","21"
"184","39"
"185","42"
"186","24"
"187","19"
"188","18"
"189","13"
"190","10"
"191","1"
"192","20"
"193","42"
"194","13"
"195","32"
"196","25"
"197","11"
"198","34"
"199","45"
"200","10"
"201","37"
"202","37"
"203","48"
"204","16"
"205","29"
"206","30"
"207","1"
"208","5"
"209","3"
"210","19"
"211","21"
"212","34"
"213","13"
"214","27"
"215","49"
"216","4"
"217","42"
"218","33"
"219","42"
"220","35"
"221","35"
"222","15"
"223","14"
"224","32"
"225","15"
"226","9"
"227","44"
"228","26"
"229","27"
"230","4"
"231","36"
"232","15"
"233","19"
"234","49"
"235","17"
"236","26"
"237","15"
"238","38"
"239","54"
"240","17"
"241","1"
"242","31"
"243","28"
"244","16"
"245","34"
"246","34"
"247","37"
"248","31"
"249","20"
"250","3"
"251","14"
"252","10"
"253","24"
"254","29"
"255","12"
"256","22"
"257","46"
"258","17"
"259","55"
"260","37"
"261","11"
"262","49"
"263","35"
"264","41"
"265","22"
"266","38"
"267","21"
"268","50"
"269","5"
"270","18"
"271","34"
"272","5"
"273","5"
"274","6"
"275","43"
"276","25"
"277","47"
"278","6"
"279","39"
"280","39"
"281","1"
"282","25"
"283","48"
"284","6"
"285","8"
"286","21"
"287","4"
"288","2"
"289","4"
"290","27"
"291","28"
"292","13"
"293","38"
"294","32"
"295","45"
"296","19"
"297","19"
"298","15"
"299","14"
"300","42"
"301","24"
"302","47"
"303","18"
"304","18"
"305","9"
"306","54"
"307","28"
"308","3"
"309","27"
"310","40"
"311","18"
"312","40"
"313","54"
"314","6"
"315","21"
"316","35"
"317","15"
"318","18"
"319","21"
"320","15"
"321","43"
"322","37"
"323","15"
"324","29"
"325","16"
"326","26"
"327","24"
"328","46"
"329","55"
"330","12"
"331","24"
"332","52"
"333","42"
"334","13"
"335","52"
"336","1"
"337","50"
"338","52"
"339","51"
"340","55"
"341","40"
"342","29"
"343","6"
"344","42"
"345","1"
"346","39"
"347","48"
"348","41"
"349","21"
"350","1"
"351","2"
"352","54"
"353","51"
"354","13"
"355","20"
"356","25"
"357","20"
"358","55"
"359","2"
"360","2"
"361","28"
"362","11"
"363","28"
"364","17"
"365","24"
"366","43"
"367","38"
"368","50"
"369","25"
"370","24"
"371","52"
"372","55"
"373","29"
"374","42"
"375","3"
"376","1"
"377","20"
"378","13"
"379","42"
"380","17"
"381","11"
"382","29"
"383","23"
"384","34"
"385","52"
"386","13"
"387","8"
"388","3"
"389","55"
"390","1"
"391","21"
"392","16"
"393","43"
"394","23"
"395","42"
"396","37"
"397","25"
"398","30"
"399","2"
"400","21"
"401","43"
"402","20"
"403","55"
"404","27"
"405","15"
"406","1"
"407","48"
"408","3"
"409","38"
"410","36"
"411","7"
"412","49"
"413","16"
"414","12"
"415","2"
"416","34"
"417","1"
"418","47"
"419","39"
"420","4"
"421","34"
"422","25"
"423","15"
"424","16"
"425","41"
"426","32"
"427","34"
"428","24"
"429","25"
"430","49"
"431","8"
"432","4"
"433","51"
"434","25"
"435","55"
"436","11"
"437","2"
"438","4"
"439","9"
"440","44"
"441","29"
"442","18"
"443","9"
"444","25"
"445","55"
"446","12"
"447","16"
"448","45"
"449","37"
"450","16"
"451","5"
"452","51"
"453","52"
"454","51"
"455","30"
"456","54"
"457","40"
"458","11"
"459","55"
"460","16"
"461","36"
"462","40"
"463","42"
"464","12"
"465","49"
"466","27"
"467","53"
"468","16"
"469","17"
"470","22"
"471","50"
"472","49"
"473","22"
"474","18"
"475","52"
"476","12"
"477","24"
"478","21"
"479","49"
"480","42"
"481","1"
"482","47"
"483","46"
"484","27"
"485","29"
"486","12"
"487","44"
"488","53"
"489","12"
"490","55"
"491","38"
"492","27"
"493","8"
"494","12"
"495","36"
"496","14"
"497","54"
"498","30"
"499","16"
"500","33"
"501","8"
"502","9"
"503","37"
"504","27"
"505","53"
"506","51"
"507","3"
"508","52"
"509","12"
"510","45"
"511","19"
"512","2"
"513","40"
"514","31"
"515","11"
"516","9"
"517","9"
"518","38"
"519","48"
"520","37"
"521","51"
"522","5"
"523","26"
"524","25"
"525","28"
"526","8"
"527","25"
"528","31"
"529","6"
"530","2"
"531","16"
"532","12"
"533","55"
"534","5"
"535","50"
"536","52"
"537","41"
"538","13"
"539","4"
"540","16"
"541","3"
"542","50"
"543","44"
"544","7"
"545","10"
"546","35"
"547","1"
"548","27"
"549","48"
"550","29"
"551","44"
"552","36"
"553","26"
"554","46"
"555","26"
"556","50"
"557","30"
"558","1"
"559","15"
"560","54"
"561","29"
"562","31"
"563","39"
"564","50"
"565","24"
"566","37"
"567","12"
"568","27"
"569","27"
"570","4"
"571","17"
"572","9"
"573","10"
"574","18"
"575","48"
"576","30"
"577","27"
"578","27"
"579","50"
"580","55"
"581","17"
"582","18"
"583","49"
"584","49"
"585","23"
"586","38"
"587","12"
"588","17"
"589","5"
"590","44"
"591","23"
"592","33"
"593","14"
"594","44"
"595","40"
"596","5"
"597","38"
"598","43"
"599","24"
"600","46"
"601","25"
"602","28"
"603","32"
"604","1"
"605","5"
"606","51"
"607","15"
"608","45"
"609","24"
"610","36"
"611","47"
"612","1"
"613","52"
"614","44"
"615","1"
"616","17"
"617","40"
"618","37"
"619","25"
"620","34"
"621","30"
"622","33"
"623","35"
"624","27"
"625","11"
"626","27"
"627","30"
"628","20"
"629","21"
"630","18"
"631","26"
"632","13"
"633","28"
"634","21"
"635","17"
"636","13"
"637","26"
"638","36"
"639","46"
"640","37"
"641","35"
"642","28"
"643","26"
"644","6"
"645","19"
"646","20"
"647","42"
"648","48"
"649","44"
"650","52"
"651","49"
"652","20"
"653","18"
"654","7"
"655","43"
"656","40"
"657","34"
"658","4"
"659","21"
"660","43"
"661","8"
"662","38"
"663","37"
"664","9"
"665","33"
"666","37"
"667","41"
"668","30"
"669","33"
"670","29"
"671","35"
"672","25"
"673","23"
"674","23"
"675","52"
"676","30"
"677","30"
"678","6"
"679","14"
"680","19"
"681","52"
"682","24"
"683","45"
"684","6"
"685","19"
"686","8"
"687","50"
"688","42"
"689","19"
"690","29"
"691","40"
"692","31"
"693","17"
"694","35"
"695","40"
"696","25"
"697","32"
"698","7"
"699","22"
"700","43"
"701","26"
"702","19"
"703","52"
"704","48"
"705","5"
"706","48"
"707","23"
"708","25"
"709","23"
"710","11"
"711","37"
"712","6"
"713","49"
"714","37"
"715","52"
"716","32"
"717","13"
"718","24"
"719","3"
"720","9"
"721","2"
"722","50"
"723","50"
"724","24"
"725","47"
"726","7"
"727","11"
"728","17"
"729","4"
"730","20"
"731","23"
"732","36"
"733","12"
"734","21"
"735","41"
"736","27"
"737","34"
"738","16"
"739","46"
"740","35"
"741","36"
"742","9"
"743","40"
"744","24"
"745","17"
"746","44"
"747","47"
"748","31"
"749","47"
"750","22"
"751","31"
"752","28"
"753","18"
"754","30"
"755","49"
"756","5"
"757","4"
"758","3"
"759","41"
"760","17"
"761","29"
"762","20"
"763","10"
"764","41"
"765","54"
"766","15"
"767","29"
"768","44"
"769","17"
"770","4"
"771","54"
"772","8"
"773","39"
"774","10"
"775","48"
"776","36"
"777","31"
"778","1"
"779","25"
"780","21"
"781","21"
"782","46"
"783","44"
"784","20"
"785","37"
"786","16"
"787","35"
"788","53"
"789","39"
"790","3"
"791","16"
"792","33"
"793","43"
"794","47"
"795","16"
"796","39"
"797","30"
"798","23"
"799","6"
"800","46"
"801","31"
"802","28"
"803","42"
"804","24"
"805","50"
"806","31"
"807","38"
"808","43"
"809","10"
"810","36"
"811","28"
"812","1"
"813","13"
"814","5"
"815","24"
"816","49"
"817","9"
"818","24"
"819","35"
"820","37"
"821","45"
"822","18"
"823","43"
"824","21"
"825","40"
"826","1"
"827","8"
"828","50"
"829","15"
"830","37"
"831","55"
"832","43"
"833","53"
"834","55"
"835","36"
"836","26"
"837","12"
"838","50"
"839","8"
"840","15"
"841","35"
"842","22"
"843","25"
"844","12"
"845","9"
"846","43"
"847","27"
"848","41"
"849","42"
"850","45"
"851","10"
"852","41"
"853","50"
"854","39"
"855","5"
"856","25"
"857","19"
"858","35"
"859","18"
"860","29"
"861","16"
"862","9"
"863","6"
"864","19"
"865","27"
"866","32"
"867","24"
"868","33"
"869","8"
"870","21"
"871","20"
"872","13"
"873","9"
"874","41"
"875","2"
"876","42"
"877","36"
"878","23"
"879","38"
"880","38"
"881","51"
"882","47"
"883","22"
"884","39"
"885","15"
"886","48"
"887","37"
"888","23"
"889","6"
"890","10"
"891","54"
"892","15"
"893","6"
"894","8"
"895","27"
"896","49"
"897","43"
"898","10"
"899","13"
"900","14"
"901","6"
"902","10"
"903","32"
"904","49"
"905","33"
"906","29"
"907","50"
"908","50"
"909","54"
"910","5"
"911","21"
"912","41"
"913","55"
"914","51"
"915","36"
"916","49"
"917","39"
"918","53"
"919","23"
"920","4"
"921","33"
"922","41"
"923","44"
"924","24"
"925","38"
"926","46"
"927","7"
"928","53"
"929","5"
"930","53"
"931","41"
"932","32"
"933","20"
"934","28"
"935","7"
"936","27"
"937","19"
"938","22"
"939","54"
"940","31"
"941","42"
"942","47"
"943","55"
"944","44"
"945","9"
"946","22"
"947","22"
"948","17"
"949","17"
"950","43"
"951","35"
"952","36"
"953","10"
"954","45"
"955","8"
"956","2"
"957","25"
"958","50"
"959","28"
"960","46"
"961","36"
"962","8"
"963","14"
"964","1"
"965","16"
"966","16"
"967","23"
"968","11"
"969","41"
"970","30"
"971","18"
"972","48"
"973","15"
"974","55"
"975","35"
"976","25"
"977","38"
"978","53"
"979","35"
"980","6"
"981","24"
"982","35"
"983","30"
"984","47"
"985","39"
"986","4"
"987","39"
"988","22"
"989","3"
"990","45"
"991","12"
"992","19"
"993","51"
"994","36"
"995","36"
"996","30"
"997","44"
"998","44"
"999","10"
"1000","53"
"1001","44"
"1002","45"
"1003","18"
"1004","1"
"1005","51"
"1006","14"
